     0.00000     0.00000
     0.02000     0.00000
     0.04000     0.00000
     0.06000     0.00000
     0.08000     0.00001
     0.10000     0.00002
     0.12000     0.00005
     0.14000     0.00010
     0.16000     0.00022
     0.18000     0.00045
     0.20000     0.00091
     0.22000     0.00176
     0.24000     0.00330
     0.26000     0.00595
     0.28000     0.01029
     0.30000     0.01705
     0.32000     0.02703
     0.34000     0.04091
     0.36000     0.05908
     0.38000     0.08133
     0.40000     0.10667
     0.42000     0.13323
     0.44000     0.15841
     0.46000     0.17929
     0.48000     0.19311
     0.50000     0.19796
     0.52000     0.19311
     0.54000     0.17929
     0.56000     0.15841
     0.58000     0.13323
     0.60000     0.10667
     0.62000     0.08133
     0.64000     0.05908
     0.66000     0.04091
     0.68000     0.02703
     0.70000     0.01705
     0.72000     0.01029
     0.74000     0.00595
     0.76000     0.00330
     0.78000     0.00176
     0.80000     0.00091
     0.82000     0.00045
     0.84000     0.00022
     0.86000     0.00010
     0.88000     0.00005
     0.90000     0.00002
     0.92000     0.00001
     0.94000     0.00000
     0.96000     0.00000
     0.98000     0.00000
     1.00000     0.00000
 
 
     0.00000     0.00000
     0.02000     0.00009
     0.04000     0.00020
     0.06000     0.00037
     0.08000     0.00063
     0.10000     0.00104
     0.12000     0.00167
     0.14000     0.00261
     0.16000     0.00399
     0.18000     0.00596
     0.20000     0.00871
     0.22000     0.01243
     0.24000     0.01731
     0.26000     0.02356
     0.28000     0.03129
     0.30000     0.04057
     0.32000     0.05134
     0.34000     0.06339
     0.36000     0.07637
     0.38000     0.08977
     0.40000     0.10294
     0.42000     0.11515
     0.44000     0.12565
     0.46000     0.13373
     0.48000     0.13883
     0.50000     0.14057
     0.52000     0.13883
     0.54000     0.13373
     0.56000     0.12565
     0.58000     0.11515
     0.60000     0.10294
     0.62000     0.08977
     0.64000     0.07637
     0.66000     0.06339
     0.68000     0.05134
     0.70000     0.04057
     0.72000     0.03129
     0.74000     0.02356
     0.76000     0.01731
     0.78000     0.01243
     0.80000     0.00871
     0.82000     0.00596
     0.84000     0.00399
     0.86000     0.00261
     0.88000     0.00167
     0.90000     0.00104
     0.92000     0.00063
     0.94000     0.00037
     0.96000     0.00020
     0.98000     0.00009
     1.00000     0.00000
 
 
     0.00000     0.00000
     0.02000     0.00056
     0.04000     0.00118
     0.06000     0.00194
     0.08000     0.00290
     0.10000     0.00415
     0.12000     0.00577
     0.14000     0.00785
     0.16000     0.01049
     0.18000     0.01377
     0.20000     0.01779
     0.22000     0.02261
     0.24000     0.02827
     0.26000     0.03476
     0.28000     0.04206
     0.30000     0.05006
     0.32000     0.05861
     0.34000     0.06749
     0.36000     0.07645
     0.38000     0.08518
     0.40000     0.09333
     0.42000     0.10059
     0.44000     0.10662
     0.46000     0.11115
     0.48000     0.11397
     0.50000     0.11492
     0.52000     0.11397
     0.54000     0.11115
     0.56000     0.10662
